sub	 task	 sess	 trl	 item	 acc	     rts
107	    2	    2	   5	   12	   1	  460.97
107	    2	    2	   6	   10	   1	  467.68
107	    2	    2	   7	   10	   1	  438.85
107	    2	    2	   8	   12	   1	  403.57
107	    2	    2	   9	    4	   1	  639.99
107	    2	    2	  10	    2	   1	  532.85
107	    2	    2	  11	    6	   1	  779.38
107	    2	    2	  12	    8	   1	  985.54
107	    2	    2	  13	   10	   1	  457.60
107	    2	    2	  14	   10	   1	  462.14
107	    2	    2	  15	    2	   1	  554.97
107	    2	    2	  16	    4	   1	  508.49
107	    2	    2	  17	   10	   1	  585.40
107	    2	    2	  18	    8	   1	  506.04
107	    2	    2	  19	    4	   1	  478.35
107	    2	    2	  20	    8	   1	 1118.70
107	    2	    2	  21	   12	   1	  421.46
107	    2	    2	  22	    4	   1	  420.53
107	    2	    2	  23	    6	   0	  858.50
107	    2	    2	  24	    6	   1	  707.34
107	    2	    2	  25	    4	   1	  487.57
107	    2	    2	  26	   12	   1	  548.14
107	    2	    2	  27	    2	   1	  514.13
107	    2	    2	  28	   12	   1	  528.19
107	    2	    2	  29	    2	   1	  530.84
107	    2	    2	  30	    4	   1	  718.02
107	    2	    2	  31	   12	   1	  459.99
107	    2	    2	  32	    6	   0	 1360.40
107	    2	    2	  33	   12	   1	  544.27
107	    2	    2	  34	    4	   1	  536.17
107	    2	    2	  35	    2	   1	  500.36
107	    2	    2	  36	    4	   1	  509.22
107	    2	    2	  37	    8	   1	  831.97
107	    2	    2	  38	    8	   1	  636.17
107	    2	    2	  39	   12	   1	  438.24
107	    2	    2	  40	   12	   1	  448.80
107	    2	    2	  41	    2	   1	  524.13
107	    2	    2	  42	   10	   1	  607.10
107	    2	    2	  43	    4	   1	  721.36
107	    2	    2	  44	    8	   0	  720.59
107	    2	    2	  45	    6	   1	  654.16
107	    2	    2	  46	   10	   1	  594.19
