sub	 task	 sess	 trl	 item	 acc	     rts
106	    1	    4	  64	    3	   1	  296.34
106	    1	    4	  65	    1	   1	  307.54
106	    1	    4	  66	    5	   1	  692.74
106	    1	    4	  67	    7	   0	  334.17
106	    1	    4	  68	    3	   1	  388.18
106	    1	    4	  69	    5	   1	  329.80
106	    1	    4	  70	    1	   1	  303.12
106	    1	    4	  71	    3	   1	  314.52
106	    1	    4	  72	    1	   1	  305.21
106	    1	    4	  73	    5	   1	  651.31
106	    1	    4	  74	   11	   1	  368.79
106	    1	    4	  75	    1	   1	  340.91
106	    1	    4	  76	    1	   1	  329.39
106	    1	    4	  77	    9	   1	  311.92
106	    1	    4	  78	    7	   1	  395.27
106	    1	    4	  79	    3	   1	  274.65
106	    1	    4	  80	    1	   1	  308.34
106	    1	    4	  81	    3	   1	  292.91
106	    1	    4	  82	    9	   1	  309.10
106	    1	    4	  83	    7	   1	  397.81
106	    1	    4	  84	    9	   1	  316.54
106	    1	    4	  85	   11	   1	  319.81
106	    1	    4	  86	    9	   1	  323.00
106	    1	    4	  87	    9	   1	  316.75
106	    1	    4	  88	    1	   1	  306.54
106	    1	    4	  90	    5	   1	  397.96
106	    1	    4	  91	   11	   1	  328.17
106	    1	    4	  92	    1	   1	  402.88
106	    1	    4	  93	    9	   1	  425.64
106	    1	    4	  94	    5	   1	  628.17
106	    1	    4	  95	    7	   0	  996.51
106	    1	    4	  96	    7	   0	  618.80
106	    1	    4	  97	    3	   1	  415.41
106	    1	    4	  98	    1	   1	  297.60
106	    1	    4	  99	    5	   1	  450.33
106	    1	    4	 100	    5	   1	  518.93
106	    1	    4	 101	    1	   1	  343.22
106	    1	    4	 102	    3	   1	  306.47
106	    1	    4	 103	    1	   1	  368.85
106	    1	    4	 104	    9	   1	  367.01
106	    1	    4	 105	    1	   1	  316.24
106	    1	    4	 106	    3	   1	  342.51
106	    1	    4	 107	    3	   1	  334.96
106	    1	    4	 108	    3	   1	  309.31
106	    1	    4	 109	    9	   1	  347.74
106	    1	    4	 110	    5	   0	 1583.60
106	    1	    4	 111	   11	   1	  372.47
106	    1	    4	 112	    7	   1	  556.30
106	    1	    4	 113	    7	   1	  351.46
106	    1	    4	 114	    3	   1	  584.85
106	    1	    4	 115	   11	   1	  379.71
106	    1	    4	 116	    9	   1	  354.13
106	    1	    4	 117	    7	   1	  390.75
106	    1	    4	 118	    7	   1	  461.17
106	    1	    4	 119	    7	   0	  795.71
106	    1	    4	 120	   11	   1	  373.35
106	    1	    5	   1	    1	   1	  347.90
106	    1	    5	   2	    7	   1	  363.88
106	    1	    5	   3	   11	   1	  373.54
106	    1	    5	   4	    1	   1	  307.73
106	    1	    5	   5	    5	   1	  473.37
106	    1	    5	   6	    1	   1	  415.87
106	    1	    5	   7	    9	   1	  385.60
